"sp" "sex" "FL" "CL" "CW" "BD" "set"
"B" 0 10.8 22.5 26.3 9.1 "train"
"B" 0 11 22.5 25.7 8.2 "train"
"B" 0 11.2 22.8 26.9 9.4 "train"
"B" 0 11.5 24.7 29.2 10.1 "train"
"B" 0 11.6 24.6 28.5 10.4 "train"
"B" 0 11.6 23.7 27.7 10 "train"
"B" 0 11.7 24.9 28.5 10.4 "train"
"B" 0 11.9 26 30.1 10.9 "train"
"B" 0 12 24.6 28.9 10.5 "train"
"B" 0 12 25.4 29.2 11 "train"
"B" 0 12.6 26.1 31.6 11.2 "train"
"B" 0 12.8 27.1 31.2 11.9 "train"
"B" 0 12.8 26.7 31.1 11.1 "train"
"B" 0 12.8 27.9 31.9 11.5 "train"
"B" 0 13 27.3 31.8 11.3 "train"
"B" 0 13.1 27.6 32.6 11.1 "train"
"B" 0 13.2 27.9 32.1 11.5 "train"
"B" 0 13.4 28.4 32.7 11.7 "train"
"B" 0 13.7 28.6 33.8 11.9 "train"
"B" 0 13.9 30 34.9 13.1 "train"
"B" 0 14.7 30.1 34.7 12.5 "train"
"B" 0 14.9 30.1 35.6 12 "train"
"B" 0 15 31.7 36.9 14 "train"
"B" 0 15 32.8 37.4 14 "train"
"B" 0 15.1 31.8 36.3 13.5 "train"
"B" 0 15.1 31.9 37 13.8 "train"
"B" 0 15.1 31.7 36.6 13 "train"
"B" 0 15.2 33.9 38.5 14.7 "train"
"B" 0 15.3 32.6 38.3 13.8 "train"
"B" 0 15.4 32.4 37.6 13.8 "train"
"B" 0 15.5 33.4 38.7 14.7 "train"
"B" 0 15.6 32.8 37.9 13.4 "train"
"B" 0 15.6 33.9 39.5 14.3 "train"
"B" 0 15.7 33.6 38.5 14.1 "train"
"B" 0 15.8 34.5 40.3 15.3 "train"
"B" 0 16.2 34.5 40.1 13.9 "train"
"B" 0 16.4 34.2 39.8 15.2 "test"
"B" 0 16.7 36.6 41.9 15.4 "test"
"B" 0 17.4 38.2 44.1 16.6 "test"
"B" 0 17.5 38.6 44.5 17 "test"
"B" 0 19.2 40.9 47.9 18.1 "test"
"O" 1 9.1 16.7 18.6 7.4 "train"
"O" 1 10.2 20.2 22.2 9 "train"
"O" 1 10.7 20.7 22.7 9.2 "train"
"O" 1 11.4 22.7 24.8 10.1 "train"
"O" 1 12.5 23.2 26 10.8 "train"
"O" 1 12.5 24.2 27 11.2 "train"
"O" 1 12.7 26 28.8 12.1 "train"
"O" 1 13.2 27.1 30.4 12.2 "train"
"O" 1 13.4 26.6 29.6 12 "train"
"O" 1 13.7 27.5 30.5 12.2 "train"
"O" 1 14 29.2 32.2 13.1 "train"
"O" 1 14.1 28.9 31.8 13.5 "train"
"O" 1 14.1 29.1 31.6 13.1 "train"
"O" 1 14.1 28.7 31.9 13.3 "train"
"O" 1 14.2 28.7 31.7 12.9 "train"
"O" 1 14.2 27.8 30.9 12.7 "train"
"O" 1 14.2 29.2 32.2 13.5 "train"
"O" 1 14.6 29.9 33.5 12.8 "train"
"O" 1 14.7 29 32.1 13.1 "train"
"O" 1 15.1 30.2 33.3 14 "train"
"O" 1 15.1 30.9 34 13.9 "train"
"O" 1 15.4 30.2 33.6 13.5 "train"
"O" 1 15.7 31.7 34.2 14.2 "train"
"O" 1 16.2 32.3 35.3 14.7 "train"
"O" 1 16.3 31.6 34.2 14.5 "train"
"O" 1 17.1 35 38.9 15.7 "train"
"O" 1 17.4 36.1 39.5 16.2 "train"
"O" 1 17.5 34.4 37.3 15.3 "train"
"O" 1 17.5 34.6 38.4 16.1 "train"
"O" 1 17.8 36 39.8 16.7 "train"
"O" 1 17.9 36.9 40.9 16.5 "train"
"O" 1 18 36.7 41.3 17.1 "train"
"O" 1 18.2 38.8 42.7 17.2 "train"
"O" 1 18.4 37.9 42.2 17.7 "train"
"O" 1 18.6 37.8 41.9 17.3 "train"
"O" 1 18.6 36.9 40.2 17 "train"
"O" 1 18.8 37.2 41.1 17.5 "train"
"O" 1 18.8 39.2 43.3 17.9 "train"
"O" 1 19.4 39.1 43.2 17.8 "train"
"O" 1 19.4 39.8 44.3 17.9 "train"
"O" 1 20.1 40.6 44.5 18 "train"
"O" 1 20.6 42.8 46.5 19.6 "train"
"O" 1 21 42.9 47.2 19.4 "train"
"O" 1 21.5 45.5 49.7 20.9 "train"
"O" 1 21.6 45.7 49.7 20.6 "train"
"O" 1 21.6 43.4 48.2 20.1 "test"
"O" 1 21.9 45.4 51 21.1 "test"
"O" 1 22.1 44.6 49.6 20.5 "test"
"O" 1 23 47.2 52.1 21.5 "test"
"O" 1 23.1 47.6 52.8 21.6 "test"
"O" 0 10.7 21.4 24 9.8 "train"
"O" 0 11.4 21.7 24.1 9.7 "train"
"O" 0 12.5 24.1 27 10.9 "train"
"O" 0 12.6 25 28.1 11.5 "train"
"O" 0 12.9 25.8 29.1 11.9 "train"
"O" 0 14 27 31.4 12.6 "train"
"O" 0 14 28.8 32.4 12.7 "train"
"O" 0 14.3 28.1 31.8 12.5 "train"
"O" 0 14.7 29.6 33.4 12.9 "train"
"O" 0 14.9 30 33.7 13.3 "train"
"O" 0 15 30.1 33.3 14 "train"
"O" 0 15.6 31.2 35.1 14.1 "train"
"O" 0 15.6 31.6 35.3 13.8 "train"
"O" 0 15.6 31 34.5 13.8 "train"
"O" 0 15.7 31 34.8 13.8 "train"
"O" 0 16.1 31.6 36 14 "train"
"O" 0 16.1 31.4 36.1 13.9 "train"
"O" 0 16.2 31.6 35.6 13.7 "train"
"O" 0 16.7 32.3 37 14.7 "train"
"O" 0 17.1 33.1 37.2 14.6 "train"
"O" 0 17.5 34.5 39.6 15.6 "train"
"O" 0 17.5 34.5 39 16 "train"
"O" 0 17.5 33.3 37.6 14.6 "train"
"O" 0 17.6 34 38.6 15.5 "train"
"O" 0 18 34.7 39.5 15.7 "train"
"O" 0 18 37.9 43 17.2 "train"
"O" 0 18.3 35.1 40.5 16.1 "train"
"O" 0 18.4 35.6 40 15.9 "train"
"O" 0 18.4 36.5 41.6 16.4 "train"
"O" 0 18.5 37 42 16.6 "train"
"O" 0 18.6 34.7 39.4 15 "train"
"O" 0 18.8 35.8 40.5 16.6 "train"
"O" 0 18.9 36.3 41.7 15.3 "train"
"O" 0 19.1 37.8 42.3 16.8 "train"
"O" 0 19.1 37.9 42.6 17.2 "train"
"O" 0 19.7 39.9 43.6 18.2 "train"
"O" 0 19.9 39.4 43.9 17.9 "train"
"O" 0 19.9 40.1 46.4 17.9 "train"
"O" 0 20 40.4 45.1 17.7 "train"
"O" 0 20.1 39.8 44.1 18.6 "train"
"O" 0 20.3 39.4 44.1 18 "train"
"O" 0 20.5 40 45.5 19.2 "train"
"O" 0 20.6 41.5 46.2 19.2 "train"
"O" 0 20.9 39.9 44.7 17.5 "train"
"O" 0 21.3 43.8 48.4 20 "train"
"O" 0 21.4 41.2 46.2 18.7 "test"
"O" 0 21.7 41.7 47.2 19.6 "test"
"O" 0 21.9 42.6 47.4 19.5 "test"
"O" 0 22.5 43 48.7 19.8 "test"
"O" 0 23.1 46.2 52.5 21.1 "test"
